sender,receiver,amount,created_at,time,is_fraud,risk_level,ip_address,location
You,Person X,25000,,2025-07-25T11:32:58.256Z,true,High,146.70.250.30,"Hong Kong, "
You,Person X,25000,,2025-07-25T11:32:57.865Z,true,High,146.70.250.30,"Hong Kong, "
You,Shourya ,25000,,2025-07-25T11:28:39.703Z,false,Medium,14.139.223.170,"Kolkata, West Bengal"
You,Abhinn,700,,2025-07-25T11:28:01.607Z,false,Low,14.139.223.170,"Kolkata, West Bengal"
You,Rishi,5000,,2025-07-25T04:56:50.507Z,false,Low,152.58.181.150,"Kolkata, West Bengal"
You,Anjul,500,,2025-07-25T04:55:11.077Z,false,Low,152.58.181.150,"Kolkata, West Bengal"
You,Advik,731,2025-06-27T13:28:32.321Z,13,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Yashvi,102,2025-06-02T13:06:59.862Z,13,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Ayaan,71,2025-06-06T09:21:42.855Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Hridhaan,606,2025-06-10T14:45:19.508Z,14,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aryan,451,2025-06-28T10:13:16.007Z,10,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anvi,437,2025-05-27T18:23:22.315Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aadhya,70000,2025-05-09T10:39:51.336Z,10,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Aryan,779,2025-06-26T11:49:02.685Z,11,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Dhruv,130,2025-06-04T14:21:32.382Z,14,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Ananya,906,2025-06-20T09:07:33.385Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Avani,171,2025-06-06T09:21:03.088Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Myra,499,2025-05-30T04:32:31.727Z,4,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Ishaan,696,2025-06-14T09:24:40.369Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Sai,416,2025-06-06T20:14:03.984Z,20,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Kiara,521,2025-06-28T16:08:21.845Z,16,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Pari,525,2025-06-09T09:37:09.366Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Pari,687,2025-07-11T09:12:51.989Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Kabir,569,2025-05-15T06:22:22.734Z,6,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Anika,677,2025-06-04T18:57:17.747Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Daksh,716,2025-07-20T00:21:01.027Z,0,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Dhruv,992,2025-06-18T19:23:51.326Z,19,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Ishan,422,2025-07-13T13:56:04.882Z,13,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anika,100,2025-06-22T01:00:57.393Z,1,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Daksh,269,2025-05-24T12:17:56.799Z,12,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Ayaan,152,2025-05-27T18:31:39.594Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Yashvi,653,2025-06-28T01:23:54.224Z,1,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Krishna,841,2025-05-06T16:23:29.056Z,16,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anika,239,2025-06-24T11:42:00.910Z,11,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aahana,436,2025-07-12T21:22:21.868Z,21,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aarav,776,2025-05-24T11:53:02.087Z,11,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aadhya,515,2025-04-28T05:02:56.942Z,5,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Ishan,534,2025-04-27T18:00:43.532Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anika,435,2025-06-07T20:28:49.794Z,20,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Rudra,70,2025-06-11T16:36:13.095Z,16,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anaya,794,2025-07-15T18:25:26.128Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Arnav,266,2025-06-21T17:25:47.541Z,17,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anya,102,2025-06-22T21:48:43.238Z,21,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Siya,70000,2025-07-23T20:51:42.760Z,20,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Myra,854,2025-04-30T17:10:38.698Z,17,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Vivaan,428,2025-05-30T11:16:21.840Z,11,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aarav,330,2025-06-12T00:16:55.177Z,0,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Ayaan,868,2025-07-20T18:48:54.769Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Aadya,825,2025-06-23T11:27:44.969Z,11,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Vivaan,463,2025-05-01T18:27:19.094Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Vihaan,611,2025-06-12T09:23:36.171Z,9,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Anika,244,2025-06-21T00:20:49.208Z,0,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Ananya,250,2025-05-21T21:31:16.337Z,21,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Arnav,603,2025-06-05T15:24:13.636Z,15,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Siya,819,2025-05-22T15:47:58.328Z,15,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Vihaan,816,2025-06-07T13:19:44.928Z,13,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Riya,736,2025-07-01T18:19:13.599Z,18,false,Low,23.8.248.166,"Kolkata, West Bengal"
You,Yashvi,25000,2025-06-14T13:17:52.310Z,13,false,Medium,23.8.248.166,"Kolkata, West Bengal"
You,Sai,25000,2025-07-04T17:23:57.607Z,17,false,Medium,23.8.248.166,"Kolkata, West Bengal"
